Spreader Number,Time,Weibo Content,Retweet,Comment,Like
27,19:53:00,#雅江山火#【愿平安！#应急消防人员正全力扑救雅江山火#】记者从国家消防救援局了解到，3月15日17时许，四川甘孜州雅江县呷拉镇白孜村发生一起森林火灾。16日14时30分，火场突起大风，瞬时风力达8级以上，火场东线因大风引起复燃，并迅速向东北方向蔓延并越过多个山头，目前火势很大，浓烟遮蔽整个火场，无法抵近观察，直升机、无人机无法起飞。当前无人员伤亡报告，周边无重要设施。当地应急、消防人员正在全力扑救。南方护林总站5架直升机也已经出动，正在现场实施灭火作业。（央视）收起d,0,0,0
28,19:53:00,【#消防员正全力扑救四川甘孜雅江山火#】#雅江山火#3月15日17时许，甘孜州雅江县呷拉镇白孜村发生一起森林火灾。16日14时30分，火场突起大风，瞬时风力达8级以上，火场东线因大风引起复燃，并迅速向东北方向蔓延并越过多个山头。当地消防、应急等力量正在全力扑救。当前无人员伤亡报告。（消息来源：@央视新闻）L中国消防的微博视频收起d,0,0,1
29,19:53:00,【#四川雅江山火现场大量浓烟#】#四川雅江山火#记者从国家消防救援局了解到，昨天17时许，四川甘孜州雅江县呷拉镇白孜村发生一起森林火灾。今日14时许，火场突起大风，瞬时风力达8级以上，火场东线复燃，并迅速向东北方向蔓延。目前火势很大，浓烟遮蔽整个火场，无法抵近观察。当前无人员伤亡报告，周边无重要设施。当地应急、消防人员正在全力扑救。注意安全，平安归来！（总台央视记者赵雨彤）O四川甘孜州雅江县发生山火L央视新闻的微博视频收起d,2,0,0
30,19:53:00,【#四川雅江山火现场大量浓烟#】#四川雅江山火#记者从国家消防救援局了解到，2月15日17时许，四川甘孜州雅江县呷拉镇白孜村发生一起森林火灾。16日14时许，火场突起大风，瞬时风力达8级以上，火场东线复燃，并迅速向东北方向蔓延。目前火势很大，浓烟遮蔽整个火场，无法抵近观察。当前无人员伤亡报告，周边无重要设施。当地应急、消防人员正在全力扑救。注意安全，平安归来！（@央视新闻）L央视新闻的微博视频收起d,0,0,3
31,19:53:00,#雅江山火#【愿平安！#应急消防人员正全力扑救雅江山火#】记者从国家消防救援局了解到，3月15日17时许，四川甘孜州雅江县呷拉镇白孜村发生一起森林火灾。16日14时30分，火场突起大风，瞬时风力达8级以上，火场东线因大风引起复燃，并迅速向东北方向蔓延并越过多个山头，目前火势很大，浓烟遮蔽整个火场，无法抵近观察，直升机、无人机无法起飞。当前无人员伤亡报告，周边无重要设施。当地应急、消防人员正在全力扑救。南方护林总站5架直升机也已经出动，正在现场实施灭火作业。（央视）收起d,0,0,1
32,19:53:00,#防火防灾千万条•预防意识第一条#【#四川雅江山火现场大量浓烟#】#四川雅江山火#记者从国家消防救援局了解到，昨天17时许，四川甘孜州雅江县呷拉镇白孜村发生一起森林火灾。今日14时许，火场突起大风，瞬时风力达8级以上，火场东线复燃，并迅速向东北方向蔓延。目前火势很大，浓烟遮蔽整个火场，无法抵近观察。当前无人员伤亡报告，周边无重要设施。当地应急、消防人员正在全力扑救。注意安全，平安归来！（总台央视记者赵雨彤）O四川甘孜州雅江县发生山火L央视新闻的微博视频收起d,0,0,1
33,19:52:00,【#四川甘孜州雅江县发生森林火灾#】#四川甘孜山火目前无人员伤亡#3月15日17时许，甘孜州雅江县呷拉镇白孜村发生一起森林火灾。16日14时30分，火场突起大风，瞬时风力达8级以上，火场东线因大风引起复燃，并迅速向东北方向蔓延并越过多个山头，目前火势很大，浓烟遮蔽整个火场，无法抵近观察，直升机、无人机无法起飞。火场地形为山地地形，西侧400米为雅砻江，火场平均海拔2600米，坡度70~80°，植被以青冈林和松树为主。当前火场天气晴，气温23℃，西风4-5级。当前无人员伤亡报告，周边无重要设施。（来源：央视新闻）收起d,0,0,1
34,19:52:00,【#四川雅江山火现场大量浓烟#】#四川雅江山火#记者从国家消防救援局了解到，昨天17时许，四川甘孜州雅江县呷拉镇白孜村发生一起森林火灾。今日14时许，火场突起大风，瞬时风力达8级以上，火场东线复燃，并迅速向东北方向蔓延。目前火势很大，浓烟遮蔽整个火场，无法抵近观察。当前无人员伤亡报告，周边无重要设施。当地应急、消防人员正在全力扑救。注意安全，平安归来！（总台央视记者赵雨彤）O四川甘孜州雅江县发生山火L央视新闻的微博视频收起d,3,1,2
35,19:52:00,#雅江山火#3月15日17时许，甘孜州雅江县呷拉镇白孜村发生一起森林火灾。,0,2,10
36,19:52:00,#四川甘孜雅江突发山火#3月15日17时许，甘孜州雅江县呷拉镇白孜村发生一起森林火灾。预防山火的发生，不仅需要加强对自然因素的监测和预警，更需要人类自身改变行为方式，减少对森林的破坏和干扰，增强防火意识，共同守护绿水青山。目前#四川雅江山火目前未造成人员伤亡#,0,0,0
37,19:52:00,【#四川雅江山火现场大量浓烟#】#四川雅江山火#记者从国家消防救援局了解到，昨天17时许，四川甘孜州雅江县呷拉镇白孜村发生一起森林火灾。今日14时许，火场突起大风，瞬时风力达8级以上，火场东线复燃，并迅速向东北方向蔓延。目前火势很大，浓烟遮蔽整个火场，无法抵近观察。当前无人员伤亡报告，周边无重要设施。当地应急、消防人员正在全力扑救。注意安全，平安归来！总台央视记者赵雨彤O四川甘孜州雅江县发生山火L央视新闻的微博视频收起d,0,0,2
38,19:52:00,#雅江山火#四川雅江发生山火！央视记者从国家消防救援局了解到，3月15日17时许，甘孜州雅江县呷拉镇白孜村发生一起森林火灾。16日14时30分，火场突起大风，瞬时风力达8级以上，火场东线因大风引起复燃，并迅速向东北方向蔓延并越过多个山头，目前火势很大，浓烟遮蔽整个火场，无法抵近观察，直升机、无人机无法起飞。火场地形为山地地形，西侧400米为雅砻江，火场平均海拔2600米，坡度70~80°，植被以青冈林和松树为主。当前火场天气晴，气温23℃，西风4-5级。当前无人员伤亡报告，周边无重要设施。L探蜀发现的微博视频收起d,0,0,0
39,19:51:00,【#消防员正全力扑救四川甘孜雅江山火#】#雅江山火#3月15日17时许，甘孜州雅江县呷拉镇白孜村发生一起森林火灾。16日14时30分，火场突起大风，瞬时风力达8级以上，火场东线因大风引起复燃，并迅速向东北方向蔓延并越过多个山头。当地消防、应急等力量正在全力扑救。当前无人员伤亡报告。（消息来源：@央视新闻）L中国消防的微博视频收起d,0,0,0
40,19:51:00,20240316-4文字来源于新浪新闻微博【#雅江山火周边无重要设施#】据央视：记者从国家消防救援局了解到，3月15日17时许，甘孜州雅江县呷拉镇白孜村发生一起森林火灾。16日14时30分，火场突起大风，瞬时风力达8级以上，火场东线因大风引起复燃，并迅速向东北方向蔓延并越过多个山头，目前火势很大，浓烟遮蔽整个火场，无法抵近观察，直升机、无人机无法起飞。火场地形为山地地形，西侧400米为雅砻江，火场平均海拔2600米，坡度70~80°，植被以青冈林和松树为主。当前火场天气晴，气温23℃，西风4-5级。当前无人员伤亡报告，周边无重要设施。（来源：央视新闻）#四川交警通知国道318线临时交通管制##当地称雅江山火主要系风引起#@济南时报收起d,2,6,15
