Spreader Number,Time,Weibo Content,Retweet,Comment,Like
1054,8:41:00,【愿平安！#上千人正全力扑救雅江山火#】3月15日17时许，四川省甘孜州雅江县呷拉镇白孜村发生森林火灾，截至16日，因火场风力突然增大，火势迅速扩大蔓延。国家森防指办公室已启动IV级应急响应，派出由应急管理部、国家消防救援局、国家林草局组成的工作组赴现场协调指导火灾扑救工作。目前，国家综合性消防救援队伍、当地专业扑火队1259人正全力扑救，应急管理部南方护林总站5架直升机在现场实施灭火作业。四川森林消防总队831人、3架直升机正紧急增援中。国家消防救援局紧急从云南森林消防总队调派750人增援。L央视新闻的微博视频央视新闻收起d,0,0,3
1055,8:40:00,#薛检播报##工作组赴四川雅江指导山火扑救#【愿平安！#上千人正全力扑救雅江山火#】3月15日17时许，四川省甘孜州雅江县呷拉镇白孜村发生森林火灾，截至16日，因火场风力突然增大，火势迅速扩大蔓延。国家森防指办公室已启动IV级应急响应，派出由应急管理部、国家消防救援局、国家林草局组成的工作组赴现场协调指导火灾扑救工作。目前，国家综合性消防救援队伍、当地专业扑火队1259人正全力扑救，应急管理部南方护林总站5架直升机在现场实施灭火作业。四川森林消防总队831人、3架直升机正紧急增援中。国家消防救援局紧急从云南森林消防总队调派750人增援。（L央视新闻的微博视频收起d,0,0,0
1056,8:40:00,【#雅江山火#愿平安！遭遇山火如何避险逃生？】#附近群众请勿靠近火场#遇森林火灾，要判明火势大小和风向，逆风逃生。不要顺风跑，也不要往山上跑。,3,0,1
1057,8:39:00,四川雅江县森林火灾启动四级响应7架直升机增援【中国新闻网，梳理天下新闻】O网页链接,0,0,0
1058,8:38:00,#雅江山火最新消息#【愿平安！#1259人正全力扑救雅江山火#】#雅江山火现场视频#3月15日17时许，四川省甘孜州雅江县呷拉镇白孜村发生森林火灾，截至16日，因火场风力突然增大，火势迅速扩大蔓延。国家森防指办公室已启动IV级应急响应，派出由应急管理部、国家消防救援局、国家林草局组成的工作组赴现场协调指导火灾扑救工作。目前，国家综合性消防救援队伍、当地专业扑火队1259人正全力扑救，应急管理部南方护林总站5架直升机在现场实施灭火作业。四川森林消防总队831人、3架直升机正紧急增援中。国家消防救援局紧急从云南森林消防总队调派750人增援。（央视）L央视新闻的微博视频收起d,0,0,0
1059,8:38:00,#工作组赴四川雅江指导山火扑救#【愿平安！#上千人正全力扑救雅江山火#】3月15日17时许，四川省甘孜州雅江县呷拉镇白孜村发生森林火灾，截至16日，因火场风力突然增大，火势迅速扩大蔓延。国家森防指办公室已启动IV级应急响应，派出由应急管理部、国家消防救援局、国家林草局组成的工作组赴现场协调指导火灾扑救工作。目前，国家综合性消防救援队伍、当地专业扑火队1259人正全力扑救，应急管理部南方护林总站5架直升机在现场实施灭火作业。四川森林消防总队831人、3架直升机正紧急增援中。国家消防救援局紧急从云南森林消防总队调派750人增援。（总台央视记者唐国荣）L央视新闻的微博视频O国家森防指办公室启动Ⅳ级应急响应派工作组赴现场指导火灾扑救工作收起d,0,0,2
1060,8:37:00,#工作组赴四川雅江指导山火扑救#【愿平安！#上千人正全力扑救雅江山火#】3月15日17时许，四川省甘孜州雅江县呷拉镇白孜村发生森林火灾，截至16日，因火场风力突然增大，火势迅速扩大蔓延。国家森防指办公室已启动IV级应急响应，派出由应急管理部、国家消防救援局、国家林草局组成的工作组赴现场协调指导火灾扑救工作。目前，国家综合性消防救援队伍、当地专业扑火队1259人正全力扑救，应急管理部南方护林总站5架直升机在现场实施灭火作业。四川森林消防总队831人、3架直升机正紧急增援中。国家消防救援局紧急从云南森林消防总队调派750人增援。L央视新闻的微博视频收起d,1,0,0
1061,8:37:00,#工作组赴四川雅江指导山火扑救#【愿平安！#上千人正全力扑救雅江山火#】3月15日17时许，四川省甘孜州雅江县呷拉镇白孜村发生森林火灾，截至16日，因火场风力突然增大，火势迅速扩大蔓延。国家森防指办公室已启动IV级应急响应，派出由应急管理部、国家消防救援局、国家林草局组成的工作组赴现场协调指导火灾扑救工作。目前，国家综合性消防救援队伍、当地专业扑火队1259人正全力扑救，应急管理部南方护林总站5架直升机在现场实施灭火作业。四川森林消防总队831人、3架直升机正紧急增援中。国家消防救援局紧急从云南森林消防总队调派750人增援。（来源:央视新闻）L央视新闻的微博视频O国家森防指办公室启动Ⅳ级应急响应派工作组赴现场指导火灾扑救工作收起d,0,0,0
1062,8:37:00,【#雅江山火#愿平安！遭遇山火如何避险逃生？】#附近群众请勿靠近火场#遇森林火灾，要判明火势大小和风向，逆风逃生。不要顺风跑，也不要往山上跑。#应急消防人员正全力扑救雅江山火#愿一切平安！,2,0,2
1063,8:37:00,【#四川雅江县发生一起森林火灾#】#抢险救援力量已到雅江山火现场进行处置#3月15日17时许，四川省甘孜藏族自治州雅江县呷拉镇白孜村附近山林发生森林火灾。据了解，抢险救援力量已到达现场进行处置。#雅江山火#L新华网的微博视频,0,0,2
1064,8:37:00,#雅江山火最新消息#【愿平安！#1259人正全力扑救雅江山火#】#雅江山火现场视频#3月15日17时许，四川省甘孜州雅江县呷拉镇白孜村发生森林火灾，截至16日，因火场风力突然增大，火势迅速扩大蔓延。国家森防指办公室已启动IV级应急响应，派出由应急管理部、国家消防救援局、国家林草局组成的工作组赴现场协调指导火灾扑救工作。目前，国家综合性消防救援队伍、当地专业扑火队1259人正全力扑救，应急管理部南方护林总站5架直升机在现场实施灭火作业。四川森林消防总队831人、3架直升机正紧急增援中。国家消防救援局紧急从云南森林消防总队调派750人增援。（央视）L央视新闻的微博视频收起d,0,0,1
1065,8:37:00,北京大兴消防超话#雅江山火救援进展#【应急管理部调度指导四川甘孜州雅江县森林火灾处置国家森防指办公室启动IV级应急响应派出工作组赴现场协调指导火灾扑救工作#云南森林消防驰援雅江#】3月15日17时许，四川省甘孜州雅江县呷拉镇白孜村发生森林火灾，截至16日15时许，因火场风力突然增大，火势迅速扩大蔓延。接报后，应急管理部部长王祥喜立即作出部署，要求快速应对、果断决策，科学高效安全组织扑救，特别强调必须确保扑救人员和人民群众生命安全。部领导郝军辉、彭小国持续调度了解火情、火灾扑救、人员疏散转移等情况，要求及时转移周围群众，密切监测研判天气状况，做好火情监测勘察，科学高效指挥，确保扑救安全。国家森防指办公室已启动IV级应急响应，派出由应急管理部、国家消防救援局、国家林草局组成的工作组赴现场协调指导火灾扑救工作。目前，国家综合性消防救援队伍、当地专业扑火队等1259人正全力扑救，应急管理部南方护林总站5架直升机在现场实施灭火作业。四川森林消防总队831人、3架直升机正紧急增援中。国家消防救援局紧急从云南森林消防总队调派750人增援。#航拍雅江山火#收起d,3,7,8
1066,8:37:00,#工作组赴四川雅江指导山火扑救#【愿平安！#上千人正全力扑救雅江山火#】3月15日17时许，四川省甘孜州雅江县呷拉镇白孜村发生森林火灾，截至16日，因火场风力突然增大，火势迅速扩大蔓延。国家森防指办公室已启动IV级应急响应，派出由应急管理部、国家消防救援局、国家林草局组成的工作组赴现场协调指导火灾扑救工作。目前，国家综合性消防救援队伍、当地专业扑火队1259人正全力扑救，应急管理部南方护林总站5架直升机在现场实施灭火作业。四川森林消防总队831人、3架直升机正紧急增援中。国家消防救援局紧急从云南森林消防总队调派750人增援。（央视）L央视新闻的微博视频O国家森防指办公室启动Ⅳ级应急响应派工作组赴现场指导火灾扑救工作收起d,4,4,8
1067,8:36:00,#工作组赴四川雅江指导山火扑救#【愿平安！#上千人正全力扑救雅江山火#】3月15日17时许，四川省甘孜州雅江县呷拉镇白孜村发生森林火灾，截至16日，因火场风力突然增大，火势迅速扩大蔓延。国家森防指办公室已启动IV级应急响应，派出由应急管理部、国家消防救援局、国家林草局组成的工作组赴现场协调指导火灾扑救工作。目前，国家综合性消防救援队伍、当地专业扑火队1259人正全力扑救，应急管理部南方护林总站5架直升机在现场实施灭火作业。四川森林消防总队831人、3架直升机正紧急增援中。国家消防救援局紧急从云南森林消防总队调派750人增援。（央视新闻）L央视新闻的微博视频O国家森防指办公室启动Ⅳ级应急响应派工作组赴现场指导火灾扑救工作收起d,5,17,38
1068,8:36:00,#工作组赴四川雅江指导山火扑救#【愿平安！#上千人正全力扑救雅江山火#】3月15日17时许，四川省甘孜州雅江县呷拉镇白孜村发生森林火灾，截至16日，因火场风力突然增大，火势迅速扩大蔓延。国家森防指办公室已启动IV级应急响应，派出由应急管理部、国家消防救援局、国家林草局组成的工作组赴现场协调指导火灾扑救工作。目前，国家综合性消防救援队伍、当地专业扑火队1259人正全力扑救，应急管理部南方护林总站5架直升机在现场实施灭火作业。四川森林消防总队831人、3架直升机正紧急增援中。国家消防救援局紧急从云南森林消防总队调派750人增援。（总台央视记者唐国荣）via.@央视新闻L央视新闻的微博视频O国家森防指办公室启动Ⅳ级应急响应派工作组赴现场指导火灾扑救工作收起d,0,13,1
1069,8:36:00,#雅江山火最新消息#【愿平安！#1259人正全力扑救雅江山火#】#工作组赴四川雅江指导山火扑救#3月15日17时许，四川省甘孜州雅江县呷拉镇白孜村发生森林火灾，截至16日，因火场风力突然增大，火势迅速扩大蔓延。国家森防指办公室已启动IV级应急响应，派出由应急管理部、国家消防救援局、国家林草局组成的工作组赴现场协调指导火灾扑救工作。目前，国家综合性消防救援队伍、当地专业扑火队1259人正全力扑救，应急管理部南方护林总站5架直升机在现场实施灭火作业。四川森林消防总队831人、3架直升机正紧急增援中。国家消防救援局紧急从云南森林消防总队调派750人增援。（央视）L央视新闻的微博视频收起d,88,210,531
1070,8:36:00,【警惕！#四川云南等地森林火险等级为高危#】#四川启动森林草原火灾四级应急响应#3月15日17时许，四川省甘孜藏族自治州雅江县呷拉镇白孜村发生一起火情。记者16日深夜从四川省应急管理厅获悉，雅江森林火灾发生后，省森林草原防灭火指挥部办公室已启动森林草原火灾应急预案四级响应，调集7架直升机增援火场灭火。据应急管理部森林防火预警监测信息中心消息，预计16日晚上到17日白天，北京东北部、河北东北部、内蒙古东南部、辽宁西南部、四川南部、云南大部的局部地区森林火险等级为高度危险（四级）。（中新网综合央视新闻客户端）收起d,0,0,0
1071,8:35:00,#工作组赴四川雅江指导山火扑救#【愿平安！#上千人正全力扑救雅江山火#】3月15日17时许，四川省甘孜州雅江县呷拉镇白孜村发生森林火灾，截至16日，因火场风力突然增大，火势迅速扩大蔓延。国家森防指办公室已启动IV级应急响应，派出由应急管理部、国家消防救援局、国家林草局组成的工作组赴现场协调指导火灾扑救工作。目前，国家综合性消防救援队伍、当地专业扑火队1259人正全力扑救，应急管理部南方护林总站5架直升机在现场实施灭火作业。四川森林消防总队831人、3架直升机正紧急增援中。国家消防救援局紧急从云南森林消防总队调派750人增援。（总台央视记者唐国荣）L央视新闻的微博视频O国家森防指办公室启动Ⅳ级应急响应派工作组赴现场指导火灾扑救工作收起d,1,1,0
1072,8:34:00,#工作组赴四川雅江指导山火扑救#【愿平安！#上千人正全力扑救雅江山火#】3月15日17时许，四川省甘孜州雅江县呷拉镇白孜村发生森林火灾，截至16日，因火场风力突然增大，火势迅速扩大蔓延。国家森防指办公室已启动IV级应急响应，派出由应急管理部、国家消防救援局、国家林草局组成的工作组赴现场协调指导火灾扑救工作。目前，国家综合性消防救援队伍、当地专业扑火队1259人正全力扑救，应急管理部南方护林总站5架直升机在现场实施灭火作业。四川森林消防总队831人、3架直升机正紧急增援中。国家消防救援局紧急从云南森林消防总队调派750人增援。（总台央视记者唐国荣）L央视新闻的微博视频O国家森防指办公室启动Ⅳ级应急响应派工作组赴现场指导火灾扑救工作收起d,0,0,0
1073,8:34:00,#航拍雅江山火#四川甘孜州雅江县呷拉镇白孜村发生一起森林火灾。16日14时30分，火场突起大风，瞬时风力达8级以上，火场东线因大风引起复燃，并迅速向东北方向蔓延并越过多个山头，目前火势很大，浓烟遮蔽整个火场，无法抵近观察，直升机、无人机无法起飞。火场地形为山地地形，西侧400米为雅砻江，火场平均海拔2600米，坡度70~80°，植被以青冈林和松树为主。当前火场天气晴，气温23℃，西风4-5级。当前无人员伤亡报告，L娱乐探神的微博视频收起d,4,0,12
1074,8:34:00,#雅江山火救援进展#【应急管理部调度指导四川甘孜州雅江县森林火灾处置国家森防指办公室启动IV级应急响应派出工作组赴现场协调指导火灾扑救工作#云南森林消防驰援雅江#】3月15日17时许，四川省甘孜州雅江县呷拉镇白孜村发生森林火灾，截至16日15时许，因火场风力突然增大，火势迅速扩大蔓延。接报后，应急管理部部长王祥喜立即作出部署，要求快速应对、果断决策，科学高效安全组织扑救，特别强调必须确保扑救人员和人民群众生命安全。部领导郝军辉、彭小国持续调度了解火情、火灾扑救、人员疏散转移等情况，要求及时转移周围群众，密切监测研判天气状况，做好火情监测勘察，科学高效指挥，确保扑救安全。国家森防指办公室已启动IV级应急响应，派出由应急管理部、国家消防救援局、国家林草局组成的工作组赴现场协调指导火灾扑救工作。目前，国家综合性消防救援队伍、当地专业扑火队等1259人正全力扑救，应急管理部南方护林总站5架直升机在现场实施灭火作业。四川森林消防总队831人、3架直升机正紧急增援中。国家消防救援局紧急从云南森林消防总队调派750人增援。#航拍雅江山火#收起d,24,5,25
1075,8:34:00,【今日#热点新闻一览#】1.《促进国家级新区高质量建设行动计划》近日发布，从增强新区科技和产业竞争力等方面，明确了今后3年集中推进的重点任务。国家级新区目前全国共19个，包括上海浦东、河北雄安。2.市场监管总局16日消息：针对总台“3·15”晚会曝光问题，连夜部署各地核查处置涉市场监管领域违法行为，公安等部门正在对涉案企业开展深入调查。3.16日，25个省份举行2024年度公务员招录考试。除广东、青海两省在16日进行笔试外，多数省份联考笔试时间皆为16日至17日。4.16日，2024年上半年全国新兵运输工作全面启动。按计划，今年上半年新兵运输工作将于3月31日全部完成。5.15日，四川甘孜州雅江县白孜村发生森林火灾。16日下午，火场东线因大风引起复燃，目前无人员伤亡报告。四川省森防指办已启动森林草原火灾应急预案四级响应。6.中国民航局消息，2月民航完成运输总周转量116.4亿吨公里，同比增长46.8%，行业运输总体规模创历史新高。7.15日，总台中国之声独家报道了河北邢台每天有大量劣质宠物粮从这里流向市场。河北省农业农村厅16日回应称，已对涉事企业进行查封，并在全省范围进行宠物饲料专项整治。8.北京时间16日，WTT新加坡大满贯赛，中国组合马龙/林高远战胜队友樊振东/王楚钦夺得男双冠军。中国组合陈梦/王曼昱3比0战胜中国台北组合，夺得女双冠军。9.北京时间16日，2024世界短道速滑锦标赛，中国选手孙龙获得男子1500米金牌。10.中央气象台预计，16日夜间至18日，冷空气将影响我国中东部大部地区，气温将普遍下降4～8℃，局地可达10℃以上。【国际热点资讯一览】1.当地时间15日，美国联合航空公司一架波音737—800客机在抵达目的地后，被发现机身上一块外部面板缺失。客机上载有139名乘客和6名机组人员，目前没有迹象表明飞机在飞行途中受损。2.美国总统拜登日前表示，反对日本制铁公司收购美国钢铁公司。美媒认为，拜登此举意在争取摇摆州工人选民对其竞选连任的支持。3.路透社16日报道称，据知情人士透露，美国太空探索技术公司（SpaceX）正在根据与美国情报机构签订的机密合同，建设一个由数百颗间谍卫星组成的网络。4.当地时间3月16日，意大利工业家联合会发布报告称，该国2024年初经济增长放缓，预计第一季度国内生产总值将表现较为疲软。5.据厄瓜多尔媒体报道，厄瓜多尔公共卫生部当地时间16日发布的公告显示，截至当天，2024年厄瓜多尔全国共登记11492例登革热病例，已有15例登革热死亡病例，其中9名为儿童。6.当地时间16日，苏丹三大电信运营商之一的苏丹电信公司宣布，该公司于当天恢复在首都圈城市北喀土穆以及中部杰济拉州部分城市和乡村地区的通信和互联网服务。收起d,0,0,0
1076,8:33:00,【今日#热点新闻一览#】1.《促进国家级新区高质量建设行动计划》近日发布，从增强新区科技和产业竞争力等方面，明确了今后3年集中推进的重点任务。国家级新区目前全国共19个，包括上海浦东、河北雄安。2.市场监管总局16日消息：针对总台“3·15”晚会曝光问题，连夜部署各地核查处置涉市场监管领域违法行为，公安等部门正在对涉案企业开展深入调查。3.16日，25个省份举行2024年度公务员招录考试。除广东、青海两省在16日进行笔试外，多数省份联考笔试时间皆为16日至17日。4.16日，2024年上半年全国新兵运输工作全面启动。按计划，今年上半年新兵运输工作将于3月31日全部完成。5.15日，四川甘孜州雅江县白孜村发生森林火灾。16日下午，火场东线因大风引起复燃，目前无人员伤亡报告。四川省森防指办已启动森林草原火灾应急预案四级响应。6.中国民航局消息，2月民航完成运输总周转量116.4亿吨公里，同比增长46.8%，行业运输总体规模创历史新高。7.15日，总台中国之声独家报道了河北邢台每天有大量劣质宠物粮从这里流向市场。河北省农业农村厅16日回应称，已对涉事企业进行查封，并在全省范围进行宠物饲料专项整治。8.北京时间16日，WTT新加坡大满贯赛，中国组合马龙/林高远战胜队友樊振东/王楚钦夺得男双冠军。中国组合陈梦/王曼昱3比0战胜中国台北组合，夺得女双冠军。9.北京时间16日，2024世界短道速滑锦标赛，中国选手孙龙获得男子1500米金牌。10.中央气象台预计，16日夜间至18日，冷空气将影响我国中东部大部地区，气温将普遍下降4～8℃，局地可达10℃以上。【国际热点资讯一览】1.当地时间15日，美国联合航空公司一架波音737—800客机在抵达目的地后，被发现机身上一块外部面板缺失。客机上载有139名乘客和6名机组人员，目前没有迹象表明飞机在飞行途中受损。2.美国总统拜登日前表示，反对日本制铁公司收购美国钢铁公司。美媒认为，拜登此举意在争取摇摆州工人选民对其竞选连任的支持。3.路透社16日报道称，据知情人士透露，美国太空探索技术公司（SpaceX）正在根据与美国情报机构签订的机密合同，建设一个由数百颗间谍卫星组成的网络。4.当地时间3月16日，意大利工业家联合会发布报告称，该国2024年初经济增长放缓，预计第一季度国内生产总值将表现较为疲软。5.据厄瓜多尔媒体报道，厄瓜多尔公共卫生部当地时间16日发布的公告显示，截至当天，2024年厄瓜多尔全国共登记11492例登革热病例，已有15例登革热死亡病例，其中9名为儿童。6.当地时间16日，苏丹三大电信运营商之一的苏丹电信公司宣布，该公司于当天恢复在首都圈城市北喀土穆以及中部杰济拉州部分城市和乡村地区的通信和互联网服务。收起d,0,0,0
1077,8:33:00,【愿平安！#应急消防人员正全力扑救雅江山火#】#四川森林消防500余人紧急出动#3月15日17时许，甘孜州雅江县呷拉镇白孜村发生一起森林火灾，火灾发生后，四川省森林消防总队500余名消防救援人员紧急出动参与扑救，截至3月16日14时30分，火场突起大风，瞬时风力达8级以上，火场东线势迅速向东北方向蔓延并越过多个山头，浓烟遮蔽整个火场。据了解，火场地形为山地地形，西侧400米为雅砻江，火场平均海拔2600米，坡度70~80°，植被以青冈林和松树为主。#雅江山火#（人民日报记者宋豪新）L中国消防的微博视频收起d,0,0,0
1078,8:33:00,【今日#热点新闻一览#】1.《促进国家级新区高质量建设行动计划》近日发布，从增强新区科技和产业竞争力等方面，明确了今后3年集中推进的重点任务。国家级新区目前全国共19个，包括上海浦东、河北雄安。2.市场监管总局16日消息：针对总台“3·15”晚会曝光问题，连夜部署各地核查处置涉市场监管领域违法行为，公安等部门正在对涉案企业开展深入调查。3.16日，25个省份举行2024年度公务员招录考试。除广东、青海两省在16日进行笔试外，多数省份联考笔试时间皆为16日至17日。4.16日，2024年上半年全国新兵运输工作全面启动。按计划，今年上半年新兵运输工作将于3月31日全部完成。5.15日，四川甘孜州雅江县白孜村发生森林火灾。16日下午，火场东线因大风引起复燃，目前无人员伤亡报告。四川省森防指办已启动森林草原火灾应急预案四级响应。6.中国民航局消息，2月民航完成运输总周转量116.4亿吨公里，同比增长46.8%，行业运输总体规模创历史新高。7.15日，总台中国之声独家报道了河北邢台每天有大量劣质宠物粮从这里流向市场。河北省农业农村厅16日回应称，已对涉事企业进行查封，并在全省范围进行宠物饲料专项整治。8.北京时间16日，WTT新加坡大满贯赛，中国组合马龙/林高远战胜队友樊振东/王楚钦夺得男双冠军。中国组合陈梦/王曼昱3比0战胜中国台北组合，夺得女双冠军。9.北京时间16日，2024世界短道速滑锦标赛，中国选手孙龙获得男子1500米金牌。10.中央气象台预计，16日夜间至18日，冷空气将影响我国中东部大部地区，气温将普遍下降4～8℃，局地可达10℃以上。【国际热点资讯一览】1.当地时间15日，美国联合航空公司一架波音737—800客机在抵达目的地后，被发现机身上一块外部面板缺失。客机上载有139名乘客和6名机组人员，目前没有迹象表明飞机在飞行途中受损。2.美国总统拜登日前表示，反对日本制铁公司收购美国钢铁公司。美媒认为，拜登此举意在争取摇摆州工人选民对其竞选连任的支持。3.路透社16日报道称，据知情人士透露，美国太空探索技术公司（SpaceX）正在根据与美国情报机构签订的机密合同，建设一个由数百颗间谍卫星组成的网络。4.当地时间3月16日，意大利工业家联合会发布报告称，该国2024年初经济增长放缓，预计第一季度国内生产总值将表现较为疲软。5.据厄瓜多尔媒体报道，厄瓜多尔公共卫生部当地时间16日发布的公告显示，截至当天，2024年厄瓜多尔全国共登记11492例登革热病例，已有15例登革热死亡病例，其中9名为儿童。6.当地时间16日，苏丹三大电信运营商之一的苏丹电信公司宣布，该公司于当天恢复在首都圈城市北喀土穆以及中部杰济拉州部分城市和乡村地区的通信和互联网服务。收起d,14,5,15
1079,8:33:00,#工作组赴四川雅江指导山火扑救#3月15日17时许，四川省甘孜州雅江县呷拉镇白孜村发生森林火灾，截至16日，因火场风力突然增大，火势迅速扩大蔓延。国家森防指办公室已启动IV级应急响应，派出由应急管理部、国家消防救援局、国家林草局组成的工作组赴现场协调指导火灾扑救工作。目前，国家综合性消防救援队伍、当地专业扑火队1259人正全力扑救，应急管理部南方护林总站5架直升机在现场实施灭火作业。四川森林消防总队831人、3架直升机正紧急增援中。国家消防救援局紧急从云南森林消防总队调派750人增援。（总台央视记者唐国荣）L央视新闻的微博视频O国家森防指办公室启动Ⅳ级应急响应派工作组赴现场指导火灾扑救工作收起d,0,0,0
1080,8:33:00,四川甘孜雅江发生森林火灾启动森林草原火灾应急预案四级响应点击查看更多O网页链接,0,0,0
1081,8:33:00,#工作组赴四川雅江指导山火扑救#3月15日17时许，四川省甘孜州雅江县呷拉镇白孜村发生森林火灾，截至16日，因火场风力突然增大，火势迅速扩大蔓延。国家森防指办公室已启动IV级应急响应，派出由应急管理部、国家消防救援局、国家林草局组成的工作组赴现场协调指导火灾扑救工作。目前，国家综合性消防救援队伍、当地专业扑火队1259人正全力扑救，应急管理部南方护林总站5架直升机在现场实施灭火作业。四川森林消防总队831人、3架直升机正紧急增援中。国家消防救援局紧急从云南森林消防总队调派750人增援。（总台央视记者唐国荣）L央视新闻的微博视频O国家森防指办公室启动Ⅳ级应急响应派工作组赴现场指导火灾扑救工作收起d,0,0,0
1082,8:32:00,#工作组赴四川雅江指导山火扑救#3月15日17时许，四川省甘孜州雅江县呷拉镇白孜村发生森林火灾，截至16日，因火场风力突然增大，火势迅速扩大蔓延。国家森防指办公室已启动IV级应急响应，派出由应急管理部、国家消防救援局、国家林草局组成的工作组赴现场协调指导火灾扑救工作。目前，国家综合性消防救援队伍、当地专业扑火队1259人正全力扑救，应急管理部南方护林总站5架直升机在现场实施灭火作业。四川森林消防总队831人、3架直升机正紧急增援中。国家消防救援局紧急从云南森林消防总队调派750人增援。（总台央视记者唐国荣）L央视新闻的微博视频O国家森防指办公室启动Ⅳ级应急响应派工作组赴现场指导火灾扑救工作收起d,0,0,0
1083,8:32:00,#工作组赴四川雅江指导山火扑救#3月15日17时许，四川省甘孜州雅江县呷拉镇白孜村发生森林火灾，截至16日，因火场风力突然增大，火势迅速扩大蔓延。国家森防指办公室已启动IV级应急响应，派出由应急管理部、国家消防救援局、国家林草局组成的工作组赴现场协调指导火灾扑救工作。目前，国家综合性消防救援队伍、当地专业扑火队1259人正全力扑救，应急管理部南方护林总站5架直升机在现场实施灭火作业。四川森林消防总队831人、3架直升机正紧急增援中。国家消防救援局紧急从云南森林消防总队调派750人增援。（总台央视记者唐国荣）L央视新闻的微博视频O国家森防指办公室启动Ⅳ级应急响应派工作组赴现场指导火灾扑救工作收起d,0,0,0
1084,8:32:00,#工作组赴四川雅江指导山火扑救#【愿平安！#上千人正全力扑救雅江山火#】3月15日17时许，四川省甘孜州雅江县呷拉镇白孜村发生森林火灾，截至16日，因火场风力突然增大，火势迅速扩大蔓延。国家森防指办公室已启动IV级应急响应，派出由应急管理部、国家消防救援局、国家林草局组成的工作组赴现场协调指导火灾扑救工作。目前，国家综合性消防救援队伍、当地专业扑火队1259人正全力扑救，应急管理部南方护林总站5架直升机在现场实施灭火作业。四川森林消防总队831人、3架直升机正紧急增援中。国家消防救援局紧急从云南森林消防总队调派750人增援。（总台央视记者唐国荣）L央视新闻的微博视频O国家森防指办公室启动Ⅳ级应急响应派工作组赴现场指导火灾扑救工作收起d,0,2,5
1085,8:32:00,#工作组赴四川雅江指导山火扑救#3月15日17时许，四川省甘孜州雅江县呷拉镇白孜村发生森林火灾，截至16日，因火场风力突然增大，火势迅速扩大蔓延。国家森防指办公室已启动IV级应急响应，派出由应急管理部、国家消防救援局、国家林草局组成的工作组赴现场协调指导火灾扑救工作。目前，国家综合性消防救援队伍、当地专业扑火队1259人正全力扑救，应急管理部南方护林总站5架直升机在现场实施灭火作业。四川森林消防总队831人、3架直升机正紧急增援中。国家消防救援局紧急从云南森林消防总队调派750人增援。（总台央视记者唐国荣）L央视新闻的微博视频O国家森防指办公室启动Ⅳ级应急响应派工作组赴现场指导火灾扑救工作收起d,0,0,0
1086,8:32:00,【#四川甘孜雅江县发生森林火灾#】3月15日17时许，四川省甘孜藏族自治州雅江县呷拉镇白孜村附近山林发生森林火灾。据了解，抢险救援力量已到达现场进行处置。（新华社）L新华社的微博视频,0,0,0
1087,8:32:00,#工作组赴四川雅江指导山火扑救#【愿平安！#上千人正全力扑救雅江山火#】3月15日17时许，四川省甘孜州雅江县呷拉镇白孜村发生森林火灾，截至16日，因火场风力突然增大，火势迅速扩大蔓延。国家森防指办公室已启动IV级应急响应，派出由应急管理部、国家消防救援局、国家林草局组成的工作组赴现场协调指导火灾扑救工作。目前，国家综合性消防救援队伍、当地专业扑火队1259人正全力扑救，应急管理部南方护林总站5架直升机在现场实施灭火作业。四川森林消防总队831人、3架直升机正紧急增援中。国家消防救援局紧急从云南森林消防总队调派750人增援。（总台央视记者唐国荣）L央视新闻的微博视频O国家森防指办公室启动Ⅳ级应急响应派工作组赴现场指导火灾扑救工作收起d,0,0,0
1088,8:31:00,#工作组赴四川雅江指导山火扑救#【愿平安！#上千人正全力扑救雅江山火#】3月15日17时许，四川省甘孜州雅江县呷拉镇白孜村发生森林火灾，截至16日，因火场风力突然增大，火势迅速扩大蔓延。国家森防指办公室已启动IV级应急响应，派出由应急管理部、国家消防救援局、国家林草局组成的工作组赴现场协调指导火灾扑救工作。目前，国家综合性消防救援队伍、当地专业扑火队1259人正全力扑救，应急管理部南方护林总站5架直升机在现场实施灭火作业。四川森林消防总队831人、3架直升机正紧急增援中。国家消防救援局紧急从云南森林消防总队调派750人增援。（总台央视记者唐国荣）L央视新闻的微博视频O国家森防指办公室启动Ⅳ级应急响应派工作组赴现场指导火灾扑救工作收起d,0,0,0
1089,8:30:00,#3月15日17时许，甘孜州雅江县呷拉镇白孜村发生一起森林火灾#网传消息，16日14时30分，火场突起大风，瞬时风力达8级以上，火场东线因大风引起复燃，并迅速向东北方向蔓延并越过多个山头。火场地形为山地地形，西侧400米为雅砻江，火场平均海拔2600米，坡度70~80°，植被以青冈林和松树为主。当前火场天气晴，气温23℃，西风4-5级。当前无人员伤亡报告，周边无重要设施。当地应急、消防人员正在全力扑救。南方护林总站5架直升机也已经出动，正在现场实施灭火作业。愿人员平安，愿山林火情早日被熄灭！珍惜环境，珍爱自然。收起d,0,0,0
